,UU2010,LIBUU2010,DEP,ACT_IN,ACT_OUT,ACT_TOTAL,POP2010,LIBBIS
949,35132,Noyal-sur-Vilaine,35,693,1928,2621,5441,Noyal-sur-Vilaine
950,35201,Retiers,35,765,1444,2209,5331,Retiers
951,35202,Saint-Méen-le-Grand,35,733,1402,2136,5523,Saint-Méen-le-Grand
952,35203,Cancale,35,937,913,1850,5324,Cancale
953,35204,La Guerche-de-Bretagne,35,1061,1008,2069,5411,La Guerche-de-Bretagne
954,35205,Combourg,35,925,1308,2234,5637,Combourg
955,35206,Acigné,35,488,2592,3080,6166,Acigné
956,35207,Guipry,35,680,1947,2627,6424,Guipry
957,35208,Montfort-sur-Meu,35,982,1993,2975,6458,Montfort-sur-Meu
958,35209,Bédée,35,622,2723,3346,6938,Bédée
959,35210,Liffré,35,916,2216,3132,6829,Liffré
960,35211,Mordelles,35,832,2512,3344,7180,Mordelles
961,35212,Bain-de-Bretagne,35,1287,1839,3126,7339,Bain-de-Bretagne
962,35213,Guichen,35,858,2642,3500,7500,Guichen
963,35214,Châteaubourg,35,911,3080,3991,7873,Châteaubourg
964,35215,Janzé,35,1132,2431,3564,8142,Janzé
965,35216,Vern-sur-Seiche,35,788,3080,3868,8146,Vern-sur-Seiche
966,35301,Betton,35,1034,4757,5791,11949,Betton
967,35302,Vitré,35,4626,2983,7609,16834,Vitré
968,35303,Le Rheu,35,1492,6243,7736,17812,Le Rheu
969,35401,Fougères,35,4890,5439,10329,25838,Fougères
970,35402,Saint-Malo,35,12964,3685,16649,46342,Saint-Malo
971,35701,Rennes,35,67694,65573,133267,310672,Rennes
972,36101,Vatan,36,372,669,1042,2700,Vatan
973,36102,Valençay,36,468,343,811,2594,Valençay
974,36103,Villedieu-sur-Indre,36,287,925,1212,2744,Villedieu-sur-Indre
975,36104,Chabris,36,584,464,1048,2790,Chabris
976,36105,Saint-Gaultier,36,308,544,852,2771,Saint-Gaultier
977,36106,Levroux,36,519,597,1116,2834,Levroux
978,36107,Châtillon-sur-Indre,36,591,332,924,2828,Châtillon-sur-Indre
979,36108,Ardentes,36,461,1208,1669,3774,Ardentes
980,36109,Buzançais,36,909,871,1780,4494,Buzançais
981,36201,Le Blanc,36,1807,634,2441,6968,Le Blanc
982,36202,La Châtre,36,1144,1428,2572,7221,La Châtre
983,36203,Argenton-sur-Creuse,36,1277,2006,3283,8640,Argenton-sur-Creuse
984,36301,Issoudun,36,3542,1327,4868,13090,Issoudun
985,36501,Châteauroux,36,14737,10804,25541,63153,Châteauroux
986,37101,Richelieu,37,389,478,867,2513,Richelieu
987,37102,Saint-Paterne-Racan,37,399,789,1188,2763,Saint-Paterne-Racan
988,37103,Savonnières,37,235,1217,1453,3118,Savonnières
989,37104,Artannes-sur-Indre,37,230,1359,1589,3351,Artannes-sur-Indre
990,37105,Chanceaux-sur-Choisille,37,280,1544,1824,3586,Chanceaux-sur-Choisille
991,37106,Monnaie,37,404,1540,1944,4011,Monnaie
992,37107,Véretz,37,273,1791,2064,4123,Véretz
993,37108,Langeais,37,580,1072,1652,4029,Langeais
994,37109,Sainte-Maure-de-Touraine,37,706,796,1501,4096,Sainte-Maure-de-Touraine
995,37110,Cinq-Mars-la-Pile,37,557,1789,2346,4795,Cinq-Mars-la-Pile
996,37111,Beaumont-en-Véron,37,540,1400,1940,4627,Beaumont-en-Véron
997,37112,Azay-le-Rideau,37,625,1681,2307,5092,Azay-le-Rideau
998,37201,Bourgueil,37,747,1499,2248,6033,Bourgueil
999,37202,Monts,37,645,2569,3214,6962,Monts
1000,37203,Château-Renault,37,1080,1650,2730,7245,Château-Renault
1001,37204,Esvres,37,838,3081,3919,8270,Esvres
1002,37205,Chinon,37,1748,1927,3675,9625,Chinon
1003,37301,Loches,37,1749,2151,3900,10539,Loches
1004,37701,Tours,37,56501,86248,142750,346105,Tours
1005,38101,Saint-Paul-de-Varces,38,116,971,1087,2167,Saint-Paul-de-Varces
1006,38102,Saint-Georges-de-Commiers,38,82,967,1049,2102,Saint-Georges-de-Commiers
1007,38103,Izeaux,38,207,787,994,2111,Izeaux
1008,38104,Goncelin,38,184,839,1023,2173,Goncelin
1009,38105,Auberives-sur-Varèze,38,132,1022,1154,2534,Auberives-sur-Varèze
1010,38106,Chapareillan,38,298,997,1295,2747,Chapareillan
1011,38107,Diémoz,38,174,1003,1177,2626,Diémoz
1012,38108,Theys,38,384,1084,1468,2895,Theys
1013,38109,Le Cheylas,38,275,950,1225,2673,Le Cheylas
1014,38110,Saint-Siméon-de-Bressieux,38,237,705,943,2867,Saint-Siméon-de-Bressieux
1015,38111,Saint-Georges-d'Espéranche,38,261,1258,1518,3208,Saint-Georges-d'Espéranche
1016,38112,Saint-Romain-de-Jalionas,38,197,1241,1438,3147,Saint-Romain-de-Jalionas
1017,38113,Saint-Étienne-de-Saint-Geoirs,38,484,924,1408,3414,Saint-Étienne-de-Saint-Geoirs
1018,38114,Saint-André-le-Gaz,38,288,1144,1432,3288,Saint-André-le-Gaz
1019,38115,Sonnay,38,325,1118,1443,3219,Sonnay
1020,38116,Le Bourg-d'Oisans,38,798,758,1555,3327,Le Bourg-d'Oisans
1021,38117,Saint-Savin,38,259,1408,1666,3566,Saint-Savin
1022,38118,Brié-et-Angonnes,38,215,1376,1591,3759,Brié-et-Angonnes
1023,38119,Villard-de-Lans,38,1187,632,1818,4034,Villard-de-Lans
1024,38120,La Terrasse,38,377,1772,2149,4343,La Terrasse
1025,38121,Villette-d'Anthon,38,377,1522,1899,4284,Villette-d'Anthon
1026,38122,Montalieu-Vercieu,38,495,1553,2048,4792,Montalieu-Vercieu
1027,38123,Saint-Jean-de-Bournay,38,799,1100,1899,4366,Saint-Jean-de-Bournay
1028,38124,Saint-Laurent-du-Pont,38,868,852,1720,4484,Saint-Laurent-du-Pont
1029,38125,Heyrieux,38,470,1759,2230,4756,Heyrieux
1030,38126,Saint-Just-Chaleyssin,38,384,2051,2435,4978,Saint-Just-Chaleyssin
1031,38127,Le Touvet,38,423,1723,2145,4938,Le Touvet
1032,38128,Les Avenières Veyrins-Thuellin,38,641,1526,2166,5430,Les Avenières Veyrins-Thuellin
1033,38201,Crémieu,38,577,1826,2404,5156,Crémieu
1034,38202,Beaurepaire,38,809,1131,1940,5581,Beaurepaire
1035,38203,La Côte-Saint-André,38,989,1674,2663,6194,La Côte-Saint-André
1036,38204,La Mure,38,1181,1208,2390,6765,La Mure
1037,38205,Les Abrets en Dauphiné,38,993,2464,3458,8134,Les Abrets en Dauphiné
1038,38206,Tullins,38,1003,2737,3740,8761,Tullins
1039,38207,Apprieu - Le Grand-Lemps,38,881,3367,4248,9500,Apprieu - Le Grand-Lemps
1040,38208,Vif,38,1028,3499,4526,9940,Vif
1041,38301,Crolles,38,1314,3810,5124,11442,Crolles
1042,38303,Vizille,38,2115,7100,9216,20069,Vizille
1043,38304,La Tour-du-Pin,38,2274,6639,8914,21106,La Tour-du-Pin
1044,38401,Saint-Marcellin,38,2809,5318,8126,20565,Saint-Marcellin
1045,38402,Charvieu-Chavagneux,38,2017,7916,9931,23208,Charvieu-Chavagneux
1046,38403,Villefontaine,38,3255,10985,14239,34595,Villefontaine
1047,38501,Bourgoin-Jallieu,38,7435,16198,23632,55032,Bourgoin-Jallieu
1048,38701,Grenoble,38,72604,140149,212750,496951,Grenoble
1049,39101,Chaussin,39,270,572,842,2313,Chaussin
