,Unnamed: 0,Source,Target,O_AU2010,D_AU2010,O_DEP,D_DEP,O_LIBBIS,D_LIBBIS,O_DEP_NAME,D_DEP_NAME,Weight,O_ACT_OUT,O_ACT_TOTAL,D_ACT_OUT,D_ACT_TOTAL,Dist,Duration,D_ACT_IN
3241,3241,759,13205,3,3,13,13,Marseille - Aix-en-Provence,Saint-Cannat,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,145,268025,591048,1754.0,2336.0,22895,1384,582.0
3242,3242,759,13209,3,3,13,13,Marseille - Aix-en-Provence,Carnoux-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,132,268025,591048,2070.0,2863.0,47429,1947,793.0
3243,3243,759,13211,3,3,13,13,Marseille - Aix-en-Provence,Cassis,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,103,268025,591048,1673.0,3129.0,55268,2453,1456.0
3244,3244,759,13214,3,412,13,13,Marseille - Aix-en-Provence,Port-Saint-Louis-du-Rhône,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,462,268025,591048,1129.0,3036.0,71359,3159,1907.0
3245,3245,759,13301,3,997,13,13,Marseille - Aix-en-Provence,Saint-Martin-de-Crau,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,108,268025,591048,2439.0,4365.0,61582,2488,1926.0
3246,3246,759,13303,3,3,13,13,Marseille - Aix-en-Provence,Sausset-les-Pins - Carry-le-Rouet,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,171,268025,591048,4213.0,5296.0,31455,1449,1083.0
3247,3247,759,13501,3,143,13,13,Marseille - Aix-en-Provence,Salon-de-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,2131,268025,591048,12526.0,23287.0,39362,1957,10761.0
3248,3248,13102,13215,997,997,13,13,Charleval,Mallemort,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,116,768,1033,3121.0,4455.0,6388,531,1334.0
3249,3249,13103,13301,997,997,13,13,Mouriès,Saint-Martin-de-Crau,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,148,909,1404,2439.0,4365.0,9298,659,1926.0
3250,3250,13104,759,3,3,13,13,Coudoux,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,575,1262,1548,268025.0,591048.0,24685,1276,323023.0
3251,3251,13105,552,997,141,13,13,Maussane-les-Alpilles,Arles,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,119,864,1365,5503.0,18994.0,22690,1508,13491.0
3252,3252,13106,552,997,141,13,13,Fontvieille,Arles,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,380,947,1371,5503.0,18994.0,10212,1090,13491.0
3253,3253,13107,759,3,3,13,13,Meyrargues,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,680,1309,1633,268025.0,591048.0,25538,1232,323023.0
3254,3254,13108,759,3,3,13,13,Rove,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,231,1445,1854,268025.0,591048.0,28676,1417,323023.0
3255,3255,13109,759,3,3,13,13,Rognes,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,439,1245,1902,268025.0,591048.0,27664,1542,323023.0
3256,3256,13110,759,3,3,13,13,Cuges-les-Pins,Marseille - Aix-en-Provence,BOUCHES-DU-RHONE,BOUCHES-DU-RHONE,698,1724,2197,268025.0,591048.0,54117,2494,323023.0
